,location,total_sqft,bath,price,bedroom,pricepersqft
0,1st Block Jayanagar,2850.0,4.0,428.0,4,15017.543859649122
1,1st Block Jayanagar,1630.0,3.0,194.0,3,11901.840490797545
2,1st Block Jayanagar,1875.0,2.0,235.0,3,12533.333333333334
3,1st Block Jayanagar,1200.0,2.0,130.0,3,10833.333333333334
4,1st Block Jayanagar,1235.0,2.0,148.0,2,11983.805668016194
5,1st Block Jayanagar,2750.0,4.0,413.0,4,15018.181818181818
6,1st Block Jayanagar,2450.0,4.0,368.0,4,15020.408163265307
7,1st Phase JP Nagar,2825.0,4.0,250.0,4,8849.557522123894
8,1st Phase JP Nagar,1875.0,3.0,167.0,3,8906.666666666666
9,1st Phase JP Nagar,1500.0,5.0,85.0,5,5666.666666666667
10,1st Phase JP Nagar,2065.0,4.0,210.0,3,10169.49152542373
11,1st Phase JP Nagar,2024.0,3.0,157.0,3,7756.916996047431
12,1st Phase JP Nagar,2059.0,3.0,225.0,3,10927.634774162214
13,1st Phase JP Nagar,1394.0,2.0,100.0,2,7173.601147776184
14,1st Phase JP Nagar,1077.0,2.0,93.0,2,8635.097493036212
15,1st Phase JP Nagar,1566.0,2.0,180.0,2,11494.252873563219
16,1st Phase JP Nagar,840.0,2.0,50.0,1,5952.380952380952
17,1st Phase JP Nagar,1590.0,3.0,131.0,3,8238.993710691824
18,1st Phase JP Nagar,2180.0,3.0,210.0,3,9633.02752293578
19,1st Phase JP Nagar,1180.0,2.0,88.5,2,7500.0
20,1st Phase JP Nagar,1200.0,2.0,86.0,2,7166.666666666667
21,1st Phase JP Nagar,1394.0,2.0,85.0,2,6097.5609756097565
22,1st Phase JP Nagar,2077.0,3.0,175.0,3,8425.613866153106
23,1st Phase JP Nagar,4550.0,2.0,240.0,4,5274.725274725275
24,1st Phase JP Nagar,1205.0,2.0,85.0,2,7053.941908713693
25,1st Phase JP Nagar,2615.0,5.0,222.0,4,8489.483747609942
26,1st Phase JP Nagar,900.0,2.0,75.0,2,8333.333333333334
27,2nd Phase Judicial Layout,1450.0,2.0,50.75,3,3500.0
28,2nd Phase Judicial Layout,1150.0,2.0,40.25,2,3500.0
29,2nd Phase Judicial Layout,1350.0,2.0,47.25,3,3500.0
30,2nd Phase Judicial Layout,1350.0,2.0,47.25,3,3500.0
31,2nd Phase Judicial Layout,900.0,2.0,41.0,2,4555.555555555556
32,2nd Phase Judicial Layout,1681.0,3.0,69.0,3,4104.699583581201
33,2nd Phase Judicial Layout,1350.0,2.0,47.25,3,3500.0
34,2nd Phase Judicial Layout,1150.0,2.0,40.25,2,3500.0
35,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4,14666.666666666666
36,2nd Stage Nagarbhavi,3000.0,8.0,451.0,6,15033.333333333334
37,2nd Stage Nagarbhavi,2400.0,8.0,450.0,6,18750.0
38,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4,14814.814814814816
39,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4,18750.0
40,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4,15333.333333333334
41,5th Block Hbr Layout,1206.0,2.0,56.0,2,4643.449419568822
42,5th Block Hbr Layout,1270.0,2.0,70.0,3,5511.811023622047
43,5th Block Hbr Layout,1312.0,2.0,69.0,2,5259.1463414634145
44,5th Block Hbr Layout,1100.0,2.0,48.0,2,4363.636363636364
45,5th Block Hbr Layout,3600.0,5.0,130.0,5,3611.1111111111113
46,5th Block Hbr Layout,5100.0,5.0,300.0,6,5882.35294117647
47,5th Phase JP Nagar,1075.0,2.0,60.0,2,5581.395348837209
48,5th Phase JP Nagar,1150.0,3.0,52.5,2,4565.217391304348
49,5th Phase JP Nagar,1256.0,2.0,62.8,2,5000.0
50,5th Phase JP Nagar,1207.0,2.0,63.0,2,5219.552609776305
51,5th Phase JP Nagar,1725.0,2.0,100.0,3,5797.101449275362
52,5th Phase JP Nagar,1440.0,2.0,60.0,2,4166.666666666667
53,5th Phase JP Nagar,1700.0,2.0,100.0,3,5882.35294117647
54,5th Phase JP Nagar,1485.0,2.0,67.0,3,4511.784511784512
55,5th Phase JP Nagar,2500.0,5.0,110.0,5,4400.0
56,5th Phase JP Nagar,600.0,1.0,30.0,1,5000.0
57,5th Phase JP Nagar,1390.0,2.0,65.0,2,4676.258992805755
58,5th Phase JP Nagar,1256.0,2.0,62.8,2,5000.0
59,5th Phase JP Nagar,1000.0,2.0,48.0,2,4800.0
60,5th Phase JP Nagar,1350.0,2.0,75.0,3,5555.555555555556
61,5th Phase JP Nagar,552.0,1.0,23.5,1,4257.246376811594
62,5th Phase JP Nagar,1200.0,2.0,51.0,2,4250.0
63,5th Phase JP Nagar,1240.0,3.0,60.0,3,4838.709677419355
64,5th Phase JP Nagar,1550.0,3.0,75.0,3,4838.709677419355
65,5th Phase JP Nagar,1485.0,2.0,66.0,3,4444.444444444444
66,5th Phase JP Nagar,1030.0,2.0,57.0,2,5533.980582524272
67,5th Phase JP Nagar,1200.0,2.0,68.0,2,5666.666666666667
68,5th Phase JP Nagar,1190.0,2.0,61.8,2,5193.27731092437
69,5th Phase JP Nagar,4000.0,5.0,170.0,5,4250.0
70,5th Phase JP Nagar,1080.0,2.0,53.0,2,4907.407407407408
71,5th Phase JP Nagar,1041.0,2.0,54.0,2,5187.319884726225
72,5th Phase JP Nagar,812.0,2.0,42.0,2,5172.413793103448
73,5th Phase JP Nagar,1010.0,2.0,57.0,2,5643.564356435643
74,5th Phase JP Nagar,1450.0,2.0,73.0,3,5034.482758620689
75,5th Phase JP Nagar,1075.0,2.0,60.0,2,5581.395348837209
76,6th Phase JP Nagar,1192.0,2.0,74.0,2,6208.053691275168
77,6th Phase JP Nagar,1180.0,2.0,80.0,2,6779.661016949152
78,6th Phase JP Nagar,3245.0,4.0,250.0,4,7704.160246533128
79,6th Phase JP Nagar,1645.0,3.0,100.0,3,6079.0273556231
80,6th Phase JP Nagar,1140.0,2.0,65.0,2,5701.754385964912
81,6th Phase JP Nagar,2040.0,3.0,200.0,3,9803.921568627451
82,6th Phase JP Nagar,1213.0,2.0,63.0,2,5193.734542456719
83,6th Phase JP Nagar,1216.0,2.0,60.0,2,4934.210526315789
84,6th Phase JP Nagar,1460.0,2.0,80.0,2,5479.45205479452
85,6th Phase JP Nagar,2003.0,3.0,200.0,3,9985.022466300548
86,6th Phase JP Nagar,1810.0,3.0,131.0,3,7237.5690607734805
87,6th Phase JP Nagar,1515.0,2.0,135.0,3,8910.89108910891
88,6th Phase JP Nagar,1192.0,2.0,75.0,2,6291.946308724832
89,6th Phase JP Nagar,1280.0,2.0,88.0,2,6875.0
90,7th Phase JP Nagar,1080.0,2.0,72.0,2,6666.666666666667
91,7th Phase JP Nagar,1270.0,2.0,93.0,2,7322.834645669292
92,7th Phase JP Nagar,1420.0,2.0,100.0,3,7042.2535211267605
93,7th Phase JP Nagar,1850.0,3.0,150.0,3,8108.108108108108
94,7th Phase JP Nagar,1245.0,2.0,94.0,2,7550.2008032128515
95,7th Phase JP Nagar,1175.0,2.0,82.0,2,6978.723404255319
96,7th Phase JP Nagar,1400.0,2.0,95.0,3,6785.714285714285
97,7th Phase JP Nagar,2225.0,3.0,160.0,3,7191.011235955056
98,7th Phase JP Nagar,1050.0,2.0,71.0,2,6761.9047619047615
99,7th Phase JP Nagar,1100.0,2.0,46.0,2,4181.818181818182
100,7th Phase JP Nagar,918.0,2.0,50.49,2,5500.0
101,7th Phase JP Nagar,1450.0,2.0,100.0,3,6896.551724137931
